Market,Arrival Date,Arrivals (Tonnes),Variety,Minimum Price (Rs./Quintal),Maximum Price (Rs./Quintal),Modal Price (Rs./Quintal)
,05/03/2025,4.73,Other,2200,2311,2300
,07/03/2025,0.37,Other,200,2200,2000
,08/03/2025,2.62,Other,2100,2200,2100
,09/03/2025,0.18,Other,2050,2100,2050
,14/03/2025,0.39,Other,2300,2300,2300
,15/03/2025,0.31,Other,2100,2250,2100
,16/03/2025,0.11,Other,2200,2200,2200
,18/03/2025,1.71,Other,1600,2250,2200
,21/03/2025,1.7,Other,2150,2250,2200
,22/03/2025,1.38,Other,2100,2250,2100
,23/03/2025,0.05,Other,2000,2000,2000
,24/03/2025,0.82,Other,2225,2225,2225
,25/03/2025,0.07,Other,2200,2200,2200
,26/03/2025,0.02,Other,1700,1700,1700
Pachora,01/03/2025,9,Other,1750,1990,1851
,03/03/2025,6,Other,1600,2000,1800
,04/03/2025,5,Other,1900,1980,1931
,05/03/2025,20,Other,1920,2050,2011
,06/03/2025,3,Other,1971,1971,1971
,10/03/2025,100,Other,1800,2172,1951
,11/03/2025,15,Other,1850,2140,1951
,12/03/2025,30,Other,1800,2100,1951
,15/03/2025,25,Other,1825,1993,1911
,17/03/2025,50,Other,1700,2045,1851
,18/03/2025,60,Other,1745,2150,1911
,19/03/2025,30,Other,1750,2171,1911
,20/03/2025,30,Other,1750,2067,1851
,21/03/2025,100,Other,1500,2149,1800
,22/03/2025,17.5,Other,1700,2000,1851
,24/03/2025,150,Other,1600,2150,1811
,25/03/2025,100,Other,1650,2050,1811
,26/03/2025,120,Other,1650,2200,1821
Pachora(Bhadgaon),20/03/2025,4.4,Other,1750,2067,1911
,21/03/2025,5.8,Other,1500,2149,1800
,22/03/2025,5.2,Other,1700,2000,1900
,24/03/2025,26.1,Other,1600,2150,1900
,25/03/2025,20.8,Other,1650,2050,1851
,26/03/2025,3.5,Other,1650,2200,1851
Paithan,12/03/2025,0.4,Yellow,1850,1850,1850
Paranda,12/03/2025,0.1,Other,2050,2050,2050
,22/03/2025,0.3,Other,2150,2150,2150
,25/03/2025,0.2,Other,2300,2300,2300
Parola,07/03/2025,15,Yellow,2200,2200,2200
Pune,01/03/2025,0.4,Deshi Red,2500,2700,2600
,03/03/2025,0.3,Deshi Red,2500,2600,2550
,04/03/2025,0.4,Deshi Red,2500,2700,2600
,05/03/2025,0.3,Deshi Red,2400,2700,2550
,06/03/2025,0.2,Deshi Red,2400,2600,2500
,07/03/2025,0.3,Deshi Red,2500,2700,2600
,08/03/2025,0.2,Deshi Red,2400,2700,2550
,10/03/2025,0.3,Deshi Red,2400,2600,2500
,11/03/2025,0.2,Deshi Red,2500,2700,2600
,12/03/2025,0.3,Deshi Red,2600,2700,2650
,13/03/2025,0.3,Deshi Red,2500,2700,2600
,14/03/2025,0.4,Deshi Red,2400,2600,2500
,15/03/2025,0.2,Deshi Red,2400,2700,2550
,17/03/2025,0.3,Deshi Red,2400,2600,2500
,18/03/2025,0.4,Deshi Red,2300,2700,2500
,19/03/2025,0.2,Deshi Red,2400,2600,2500
,20/03/2025,0.3,Deshi Red,2500,2700,2600
,21/03/2025,0.2,Deshi Red,2500,2700,2600
,22/03/2025,0.4,Deshi Red,2400,2600,2500
,24/03/2025,0.4,Deshi Red,2300,2600,2450
,25/03/2025,0.2,Deshi Red,2300,2700,2500
,26/03/2025,0.3,Deshi Red,2300,2500,2400
,27/03/2025,0.4,Deshi Red,2400,2700,2550
Rahata,06/03/2025,0.5,Other,2305,2305,2305
,07/03/2025,0.5,Other,2340,2340,2340
,08/03/2025,0.9,Other,2451,2451,2451
,10/03/2025,0.1,Other,2200,2200,2200
,11/03/2025,4.4,Other,2281,2290,2285
,25/03/2025,0.6,Other,2151,2151,2151
Rahuri,13/03/2025,0.6,Deshi White,2250,2250,2250
,21/03/2025,2.8,Deshi White,2200,2200,2200
,24/03/2025,0.6,Deshi White,2200,2200,2200
Rahuri(Vambori),05/03/2025,0.2,Other,1930,1930,1930
,08/03/2025,0.3,Other,2000,2000,2000
,25/03/2025,0.1,Other,2652,2652,2652
,26/03/2025,0.3,Other,2100,2100,2100
Raver,01/03/2025,0.6,Yellow,2000,2000,2000
,05/03/2025,0.1,Yellow,1790,1790,1790
Sangli,06/03/2025,40,Other,2350,2450,2400
,07/03/2025,40,Other,2350,2450,2400
,08/03/2025,20,Other,2300,2400,2350
,11/03/2025,45,Other,2350,2450,2400
,13/03/2025,15,Other,2350,2450,2400
,18/03/2025,40,Other,2350,2450,2400
,22/03/2025,45,Other,2350,2450,2400
,25/03/2025,25,Other,2350,2450,2400
,26/03/2025,18.8,Other,2350,2450,2400
Satana,03/03/2025,109,Other,2100,2100,2100
,,,Other,2230,2267,2244
,04/03/2025,80,Other,2239,2345,2291
,05/03/2025,104,Other,2240,2361,2315
,10/03/2025,91,Other,2150,2150,2150
,,,Other,2240,2347,2329
,11/03/2025,54,Other,2290,2345,2325
,21/03/2025,23,Other,2280,2313,2300
,,,Other,1850,1850,1850
,24/03/2025,38.5,Other,2250,2306,2287
,,,Other,2000,2000,2000
,25/03/2025,29,Other,2256,2301,2280
,26/03/2025,10.5,Other,2260,2315,2300
,27/03/2025,2.5,Other,2000,2000,2000
Savner,01/03/2025,0.2,Other,2125,2125,2125
,04/03/2025,3.5,Other,2050,2190,2190
,05/03/2025,1.7,Other,2150,2150,2150
,06/03/2025,2,Other,2050,2050,2050
,07/03/2025,1.5,Other,2125,2125,2125
,10/03/2025,4.5,Other,2130,2130,2130
,19/03/2025,5,Other,2150,2150,2150
,22/03/2025,3.5,Other,2025,2125,2125
,24/03/2025,0.9,Other,2125,2125,2125
Shahada,10/03/2025,3.8,Deshi Red,1850,1850,1850
,11/03/2025,0.7,Deshi Red,2131,2131,2131
,17/03/2025,5.1,Deshi Red,2191,2199,2191
,20/03/2025,3.5,Deshi Red,2026,2121,2100
,21/03/2025,7.4,Deshi Red,1926,2181,1940
,24/03/2025,5.1,Deshi Red,1910,2121,1940
Shegaon,26/03/2025,0.2,Other,2050,2050,2050
Shevgaon,09/03/2025,0.6,Yellow,2000,2000,2000
,17/03/2025,0.3,Yellow,1800,1800,1800
Shirpur,06/03/2025,5.5,Yellow,1950,1950,1950
,07/03/2025,3.3,Yellow,2000,2051,2025
,08/03/2025,0.2,Yellow,2000,2000,2000
,10/03/2025,19,Yellow,1750,2016,1926
,17/03/2025,8.5,Yellow,1900,2200,2050
,18/03/2025,23,Yellow,1716,2215,1950
,21/03/2025,2.3,Yellow,2140,2140,2140
,25/03/2025,26,Yellow,1900,2151,2145
,26/03/2025,0.5,Yellow,1851,2095,2095
Shirur,04/03/2025,1.6,Other,2100,2150,2150
,17/03/2025,0.2,Other,1200,2000,2000
Shivsiddha Govind Producer Company Limited Sanchal,01/03/2025,46.66,Other,2200,2305,2276
,03/03/2025,80.38,Other,2200,2319,2280
,04/03/2025,61.92,Other,2200,2301,2258
,05/03/2025,38,Other,2200,2301,2258
,06/03/2025,10.66,Other,2208,2322,2280
,08/03/2025,14.95,Other,2200,2310,2260
,10/03/2025,10.67,Other,2230,2270,2261
,11/03/2025,17.24,Other,2200,2283,2250
,12/03/2025,2.67,Other,2250,2286,2286
,15/03/2025,7.96,Other,2150,2242,2220
,17/03/2025,4.9,Other,2225,2225,2225
,20/03/2025,7.66,Other,2231,2241,2231
Shrigonda,24/03/2025,4.4,Other,2300,2500,2400
Shrirampur,08/03/2025,0.4,Other,2000,2100,2050
,18/03/2025,0.3,Other,1500,1575,1550
,24/03/2025,0.2,Other,1900,2000,1950
Sillod,02/03/2025,24.5,Yellow,2100,2200,2150
,03/03/2025,15.6,Yellow,2100,2200,2150
,04/03/2025,16,Yellow,2100,2200,2150
,05/03/2025,19,Yellow,2100,2220,2150
,06/03/2025,15.6,Yellow,2100,2200,2150
,07/03/2025,16.8,Yellow,2100,2200,2150
,09/03/2025,12.2,Yellow,2100,2200,2150
,10/03/2025,14.6,Yellow,2100,2200,2150
,11/03/2025,12,Yellow,2100,2220,2150
,12/03/2025,24.5,Yellow,2100,2170,2150
,13/03/2025,11.5,Yellow,2100,2150,2150
,16/03/2025,14.5,Yellow,2100,2150,2150
,17/03/2025,9.8,Yellow,2100,2160,2150
,18/03/2025,10.5,Yellow,2050,2200,2150
,19/03/2025,9.6,Yellow,2000,2150,2150
,20/03/2025,8.6,Yellow,2000,2200,2100
,21/03/2025,14.6,Yellow,2000,2150,2150
,23/03/2025,15.7,Yellow,2000,2150,2100
,24/03/2025,16.9,Yellow,2000,2150,2100
,25/03/2025,15.6,Yellow,2100,2150,2150
,26/03/2025,14.6,Yellow,2050,2150,2100
,27/03/2025,18.6,Yellow,2050,2150,2100
Sillod(Bharadi),01/03/2025,5,Yellow,2175,2175,2175
,08/03/2025,5,Yellow,2150,2150,2150
,15/03/2025,10,Yellow,2150,2150,2150
,22/03/2025,5,Yellow,2150,2150,2150
Sindkhed Raja,01/03/2025,25,Yellow,1700,2200,1800
,03/03/2025,12.5,Yellow,1700,2200,1900
,04/03/2025,20,Yellow,1700,2200,2000
,06/03/2025,27,Yellow,1700,2200,2000
,07/03/2025,20,Yellow,1700,2200,2000
,25/03/2025,28.5,Yellow,1700,2200,2000
Sinner,11/03/2025,9.7,Other,2250,2400,2350
Solapur,06/03/2025,1.7,Deshi Red,2200,2200,2200
,17/03/2025,0.5,Deshi Red,2000,2125,2125
,18/03/2025,0.5,Deshi Red,2255,2255,2255
,20/03/2025,2,Deshi Red,2195,2195,2195
,25/03/2025,1.2,Deshi Red,2250,2250,2250
Taloda,17/03/2025,9.1,Deshi Red,1800,2025,1900
Tasgaon,04/03/2025,2.4,Other,2235,2300,2280
,05/03/2025,2.2,Other,2240,2300,2270
,11/03/2025,2.5,Other,2235,2300,2270
,12/03/2025,2.5,Other,2240,2300,2280
,18/03/2025,2.3,Other,2235,2300,2280
,19/03/2025,2.1,Other,2235,2300,2280
,21/03/2025,2.5,Other,2235,2300,2270
,25/03/2025,2.3,Other,2230,2300,2270
,26/03/2025,2.4,Other,2230,2300,2280
Tuljapur,04/03/2025,4.5,Other,2250,2351,2300
Umarga,05/03/2025,0.1,Yellow,2201,2201,2201
Vaduj,01/03/2025,3,Deshi Red,2350,2450,2400
,08/03/2025,3,Deshi Red,2350,2450,2400
,15/03/2025,3,Deshi Red,2350,2450,2400
,22/03/2025,5,Deshi Red,2350,2450,2400
Vaijpur,18/03/2025,36,Yellow,2050,2224,2170
Yawal,04/03/2025,12,Yellow,1550,2030,1790
,05/03/2025,2,Yellow,1560,2040,1790
,06/03/2025,13.4,Yellow,1560,2040,1840
,07/03/2025,52.9,Yellow,1560,2040,1830
,08/03/2025,32.1,Yellow,1560,2030,1810
,12/03/2025,21.9,Yellow,1560,2040,1850
,13/03/2025,22.4,Yellow,1560,2040,1850
,15/03/2025,6.1,Yellow,1570,2025,1850
,17/03/2025,16.8,Yellow,1550,2025,1710
,20/03/2025,51.5,Yellow,1550,2025,1710
,22/03/2025,48.4,Yellow,1550,2025,1710
,23/03/2025,48.9,Yellow,1550,2025,1710
,24/03/2025,24.5,Yellow,1560,2035,1720
Yeola,01/03/2025,185.8,Yellow,2230,2311,2231
,03/03/2025,217.3,Yellow,2227,2322,2250
,05/03/2025,191.4,Yellow,2230,2300,2240
,06/03/2025,150.4,Yellow,2225,2270,2230
,,,Yellow,2031,2200,2180
,07/03/2025,113.9,Yellow,2230,2277,2235
,08/03/2025,100.5,Yellow,2225,2302,2231
,10/03/2025,314.2,Yellow,2231,2285,2240
,12/03/2025,116,Yellow,2225,2282,2230
,15/03/2025,61.9,Yellow,2124,2219,2181
,17/03/2025,164.4,Yellow,2050,2221,2175
,20/03/2025,144.7,Yellow,2225,2257,2240
,,,Yellow,2050,2224,2191
,21/03/2025,95.3,Yellow,2075,2216,2200
,22/03/2025,123.3,Yellow,2072,2201,2190
,,,Yellow,2240,2261,2250
,24/03/2025,215.7,Yellow,2225,2263,2235
,,,Yellow,2020,2221,2200
